WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
9902;ESL-E4;SOFTWARE WILCOM LETTERING e4;1522;ESL-E4;SOFTWARE WILCOM LETTERING e4;1;product
9903;ESE-E4;SOFTWARE WILCOM EDITTING e4;1523;ESE-E4;SOFTWARE WILCOM EDITTING e4;1;product
14582;TRANSC-H-140;ENCONADORA, TRANSCONADORA;1525;TRANSC-H-140;ENCONADORA, TRANSCONADORA;1;product
78294;HCHplus-701-30;HAPPY HCHplus-701-30;435;HCHplus-701-30;HAPPY HCHplus-701-30;1;product
78511;ST1512;BASTIDOR RECTANGULAR DE 15X12 CM.;1551;ST1512;BASTIDOR RECTANGULAR DE 15X12 CM.;1;product
78518;HCS2-1201-30W;HAPPY HCS2-1201-30;438;HCS2-1201-30W;HAPPY HCS2-1201-30;1;product
78520;HCD3e-1501-40W;HCD3e-1501-40W;442;HCD3e-1501-40W;HCD3e-1501-40W;1;product
78701;HCU-1401-40;HCU-1401-40W;980;HCU-1401-40;"HCU-1401-40W - Máquina de bordar de 1 cabezal y 14 agujas. - Prensatelas con regulación electrónica de altura y ajuste automático de el espesor del genero. -Marcador láser en cruz 100% preciso, un campo de trabajo de 400X600 tanto en tubular como en plano. - Campo ampliable a 400X1200. - Pantalla táctil de 7"".  - Auto reparación automática de todos lo errores. - Conexión WIFI y LAN. - Iluminación LED sobre el área de bordado. - Velocidad de 1500 r.p.m. Incluye, 4 juegos de bastidores tubulares, bancada y accesorios, kit bastidor de gorras (80X360).";1;product
90208;TJ9807;TIJERAS FISKARS BORDADO hoja recta 10cm;1218;TJ9807;TIJERAS FISKARS BORDADO hoja recta 10cm;1;product
90210;11-TC-100MET;TIJERAS DE MANO METALICAS;1219;11-TC-100MET;TIJERAS CORTAHILOS DE MANO METALICAS;1;product
90212;K5165;TIJERAS KAI N5165 165MM;1220;K5165;TIJERAS KAI N5165 165MM;1;product
90214;TJ9859;TIJERAS FISKARS MEDIANAs 17cm. NAR.;1221;TJ9859;TIJERAS FISKARS MEDIANAs 17cm. NAR.;1;product
90216;TJ9853;TIJERAS FISKARS GRANDES 21CM, PARA DIESTROS.;1222;TJ9853;TIJERAS FISKARS GRANDES 21CM, PARA DIESTROS.;1;product
90218;TJ9808;TIJERAS FISKARS BORDADO HOJA CURVA 10 CM.;1223;TJ9808;TIJERAS FISKARS BORDADO HOJA CURVA 10 CM.;1;product
90220;TJ9881;TIJERAS FISKARS BORDADO 13 CM.;1224;TJ9881;TIJERAS FISKARS BORDADO 13 CM.;1;product
90256;TJ9959;TIJERAS FISKARS MEDIANAs 17cm. NEGRAS.;1578;TJ9959;TIJERAS FISKARS MEDIANAs 17cm. NEGRAS.;1;product
329543;FRA41070;TORNILLO ARO BASTIDOR  HAPPY L=25mm;1126;FRA41070;TORNILLO ARO BASTIDOR  HAPPY L=25mm;1;product
329545;FRA41080;TORNILLO ARO BASTIDOR  HAPPY L=29 MM.;1127;FRA41080;TORNILLO ARO BASTIDOR  HAPPY L=29 MM.;1;product
346647;TJ9850;TIJERAS FISKARS GRANDES 21CM, PARA ZURDOS.;1579;TJ9850;TIJERAS FISKARS GRANDES 21CM, PARA ZURDOS.;1;product
346888;887-160122-M;MÁQUINA BASE PLANA DÜRKOPP ADLER MODELO 887-160122-M;3482;887-160122-M;MÁQUINA BASE PLANA DÜRKOPP ADLER MODELO 887-160122-M;1;product
392499;HP482590;RODAMIENTO CON GOMA AJUSTE PANTÓGRAFO BARUDAN.;1718;HP482590;RODAMIENTO CON GOMA AJUSTE PANTÓGRAFO BARUDAN.;1;product
