ID producto;Referencia interna;Nombre;Enlazado WC;Origen probable;Stock;Pedidos;Accion recomendada
436;HCHplus-701 S/G;HAPPY HCHplus-701-30 S/G .;NO;legacy;0.0;0;REVISAR
3146;HCHplus-701 S/G;"HAPPY HCHplus-701-30 S/G
.";NO;medio;0.0;0;REVISAR
1287;HCR15B40;"SUJETAHILOS TIPO CLIP happy hcd2/hcr2 moderno/HOLDER ASS&apos;Y (lower)";NO;legacy;0.0;0;REVISAR
3176;HCR15B40;SUJETAHILOS TIPO CLIP happy hcd2/hcr2 moderno/HOLDER ASS'Y (lower);NO;medio;0.0;0;REVISAR
2322;HCR16A46;CONJUNTO TENSOR DETECCIÓN DE HILO HAPPY HCR2. (TENSOR NEGRO COMPLETO);NO;medio;0.0;0;REVISAR
3210;HCR16A46;"CONJUNTO TENSOR DETECCIÓN DE HILO HAPPY HCR2.
(TENSOR NEGRO COMPLETO)";NO;import reciente;0.0;0;ARCHIVAR (copia import)
455;HCR3-1502-45;"HAPPY HCR3-X1502-45  Máquina de bordar, de 2 cabezas y 15 agujas, con una distancia entre cabezales de 500mm., un campo de bordado de 450x500mm. en plano y de 420x440mm. con bastidor tubular a una velocidad de 1.200rpm. - Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z). - 999 memorias con 40.000.000 de puntadas libres. - Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot; con conexión wifi incorporada para la transferencia bidireccional ente ordenador y máquina de diseños, son necesidad de acceso a internet. - Desde el panel tenemos la posibilidad desde crear albafetos, como combinar 3 diseños en 1, así como una gran capacidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos USB/LAN. - Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuelas, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  Equipamiento suministrado con la máquina: - Bastidor portal. .-3 juegos de bastidores tubulares a elegir entre varias medidas. -Kit bastidor de gorras.";NO;legacy;0.0;0;REVISAR
3154;HCR3-1502-45;"HAPPY HCR3-X1502-45

Máquina de bordar, de 2 cabezas y 15 agujas, con una distancia entre cabezales de 500mm., un campo de bordado de 450x500mm. en plano y de 420x440mm. con bastidor tubular a una velocidad de 1.200rpm.
- Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z).
- 999 memorias con 40.000.000 de puntadas libres.
- Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"" con conexión wifi incorporada para la transferencia bidireccional ente ordenador y máquina de diseños, son necesidad de acceso a internet.
- Desde el panel tenemos la posibilidad desde crear albafetos, como combinar 3 diseños en 1, así como una gran capacidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos USB/LAN.
- Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuelas, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

Equipamiento suministrado con la máquina:
- Bastidor portal.
.-3 juegos de bastidores tubulares a elegir entre varias medidas.
-Kit bastidor de gorras.";NO;medio;0.0;0;REVISAR
454;HCR3-1502-45 S/G;"HAPPY HCR3-X1502-45 S/G  Máquina de bordar, de 2 cabezas y 15 agujas, con una distancia entre cabezales de 500mm., un campo de bordado de 450x500mm. en plano y de 420x440mm. con bastidor tubular a una velocidad de 1.200rpm. - Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z). - 999 memorias con 40.000.000 de puntadas libres. - Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot; con conexión wifi incorporada para la transferencia bidireccional ente ordenador y máquina de diseños, son necesidad de acceso a internet. - Desde el panel tenemos la posibilidad desde crear albafetos, como combinar 3 diseños en 1, así como una gran capacidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos USB/LAN. - Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuelas, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  Equipamiento suministrado con la máquina: - Bastidor portal. .-3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;legacy;0.0;0;REVISAR
3153;HCR3-1502-45 S/G;"HAPPY HCR3-X1502-45 S/G

Máquina de bordar, de 2 cabezas y 15 agujas, con una distancia entre cabezales de 500mm., un campo de bordado de 450x500mm. en plano y de 420x440mm. con bastidor tubular a una velocidad de 1.200rpm.
- Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z).
- 999 memorias con 40.000.000 de puntadas libres.
- Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"" con conexión wifi incorporada para la transferencia bidireccional ente ordenador y máquina de diseños, son necesidad de acceso a internet.
- Desde el panel tenemos la posibilidad desde crear albafetos, como combinar 3 diseños en 1, así como una gran capacidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos USB/LAN.
- Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuelas, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

Equipamiento suministrado con la máquina:
- Bastidor portal.
.-3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;medio;0.0;0;REVISAR
