odoo_id;sku;nombre;odoo_list_price;wc_regular_price;neto_esperado;status;delta_actual_vs_esperado;wc_id
1217;ACEITEC;ACEITE LIQUIDO,1L.;5.5;6.66;5.5;OK_NETO;0.0;8357
728;P-26790;FISPOLY40, P-26790;4.5;5.45;4.5;OK_NETO;0.0;1191186
1191;LUBRIBORD;ACEITE EN SPRAY LUBRIBORD 400 ml;6.5;7.87;6.5;OK_NETO;0.0;8355
723;P-10106;FISPOLY40, P-10106;4.5;5.45;4.5;OK_NETO;0.0;1191185
1044;TSVELLUTEX48X68G;VELLUTEX GRIS;10.95;13.25;10.95;OK_NETO;0.0;8350
727;P-26794;FISPOLY40, P-26794;4.5;5.45;4.5;OK_NETO;0.0;1191171
726;P-10101;FISPOLY40, P-10101;4.5;5.45;4.5;OK_NETO;0.0;1191170
543;P-10108;FISPOLY40, P-10108;4.5;5.45;4.5;OK_NETO;0.0;1191169
3509;MERROW MG-3U VELCRO;MERROW MG-3U VELCRO;0.0;0.0;;WC_PRECIO_CERO;;8336
725;P-10100;FISPOLY40, P-10100;4.5;5.45;4.5;OK_NETO;0.0;1191168
3510;MERROW MG-3U;MERROW MG-3U;0.0;0.0;;WC_PRECIO_CERO;;8335
3511;;AGUJA DBXK5 RG 10 uds;0.0;;;SIN_SKU;;
724;P-36705;FISPOLY40, P-36705;4.5;5.45;4.5;OK_NETO;0.0;1191167
542;P-26789;FISPOLY40, P-26789;4.5;5.45;4.5;OK_NETO;0.0;1191165
722;P-10113;FISPOLY40, P-10113;4.5;5.45;4.5;OK_NETO;0.0;1191164
721;P-10114;FISPOLY40, P-10114;4.5;5.45;4.5;OK_NETO;0.0;1191163
541;P-10121;FISPOLY40, P-10121;4.5;5.45;4.5;OK_NETO;0.0;1191162
985;FRA40093;BASTIDOR HAPPYJAPAN DE 32X32 CM.;70.0;84.7;70.0;OK_NETO;0.0;8318
720;P-10142;FISPOLY40, P-10142;4.5;5.45;4.5;OK_NETO;0.0;1191161
978;MH 7,25;MIGHTY HOOP 7,25;167.0;202.07;167.0;OK_NETO;0.0;8316
719;P-50115;FISPOLY40, P-50115;4.5;5.45;4.5;OK_NETO;0.0;1191160
977;MH 6,5;MIGHTY HOOP 6,5;163.0;197.23;163.0;OK_NETO;0.0;8314
762;P-30126;FISPOLY40, P-30126;4.5;5.45;4.5;OK_NETO;0.0;1191609
976;MH 5,5;MIGHTY HOOP 5,5;155.0;187.55;155.0;OK_NETO;0.0;8312
761;P-30143;FISPOLY40, P-30143;4.5;5.45;4.5;OK_NETO;0.0;1191606
975;MH 4,25X13 SL;MIGHTY HOOP 4,25X13 SL;175.0;211.75;175.0;OK_NETO;0.0;8310
760;P-30107;FISPOLY40, P-30107;4.5;5.45;4.5;OK_NETO;0.0;1191605
974;MH 4,25X16;MIGHTY HOOP 4,25X16;198.25;239.41;197.86;OTRO;0.39;8308
759;P-66400;FISPOLY40, P-66400;4.5;5.45;4.5;OK_NETO;0.0;1191604
758;P-30140;FISPOLY40, P-30140;4.5;5.45;4.5;OK_NETO;0.0;1191603
973;MH 4,25;MIGHTY HOOP 4,25;148.0;179.08;148.0;OK_NETO;0.0;8306
757;P-30164;FISPOLY40, P-30164;4.5;5.45;4.5;OK_NETO;0.0;1191602
971;MH 4,25x13 H;MIGHTY HOOP 4,25 X 13;170.0;205.7;170.0;OK_NETO;0.0;8302
756;P-30117;FISPOLY40, P-30117;4.5;5.45;4.5;OK_NETO;0.0;1191601
3512;ST-M1113-H50;"MIGHTYHOOP 11 X 13&quot; ECO";211.75;211.75;175.0;MAL_COPIADO_BRUTO;36.75;8300
3513;ST-M1010-H36;"MIGHTYHOOP 10 X 10&quot; ECO";169.4;169.4;140.0;MAL_COPIADO_BRUTO;29.4;8298
755;P-30132;FISPOLY40, P-30132;4.5;5.45;4.5;OK_NETO;0.0;1191600
3514;ST-M0505-H36;"MIGHTYHOOP 5,5"" ECO";151.25;151.25;125.0;MAL_COPIADO_BRUTO;26.25;8296
754;P-46491;FISPOLY40, P-46491;4.5;5.45;4.5;OK_NETO;0.0;1191599
715;P-20150;FISPOLY40, P-20150;4.5;5.45;4.5;OK_NETO;0.0;8269
753;P-50131;FISPOLY40, P-50131;4.5;5.45;4.5;OK_NETO;0.0;1191598
713;P-70162;FISPOLY40, P-70162;4.5;5.45;4.5;OK_NETO;0.0;8267
752;P-20100;FISPOLY40, P-20100;4.5;5.45;4.5;OK_NETO;0.0;1191597
712;P-70163;FISPOLY40, P-70163;4.5;5.45;4.5;OK_NETO;0.0;8265
751;P-20125;FISPOLY40, P-20125;4.5;5.45;4.5;OK_NETO;0.0;1191596
708;P-90102;FISPOLY40, P-90102;4.5;5.45;4.5;OK_NETO;0.0;8263
750;P-26795;FISPOLY40, P-26795;4.5;5.45;4.5;OK_NETO;0.0;1191595
