ID producto;Referencia interna;Nombre;Origen;Stock;Pedidos;Accion recomendada
3302;LTB1631;COLOR 1631;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3303;LTB1637;COLOR 1637;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3304;LTB1645;COLOR 1645;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3305;LTB1657;COLOR 1657;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3306;LTB1659;COLOR 1659;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3307;LTB1670;COLOR 1670;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3308;LTB1678;COLOR 1678;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3309;LTB1703;COLOR 1703;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3310;LTB1704;COLOR 1704;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3311;LTB1706;COLOR 1706;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3312;LTB1709;COLOR 1709;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3313;LTB1725;COLOR 1725;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3314;LTB1726;COLOR 1726;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3315;LTB1729;COLOR 1729;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3316;LTB1751;COLOR 1751;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3317;LTB1753;COLOR 1753;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3318;LTB1760;COLOR 1760;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3319;LTB1763;COLOR 1763;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3320;LTB1769;COLOR 1769;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3321;LTB1771;COLOR 1771;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3322;LTB1775;COLOR 1775;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3323;LTB1776;COLOR 1776;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3324;LTB1778;COLOR 1778;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3325;LTB1784;COLOR 1784;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3326;LTB1790;COLOR 1790;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3327;LTB1797;COLOR 1797;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3328;LTB1799;COLOR 1799;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3347;LTB1811;LTB1811;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3351;LTB1842;CONO HILO LTB, GROSOR 40, 5000 mts, Color 1842;import reciente;0.0;3;REVISAR: enlazar manualmente o archivar si no esta en WC
3359;LTB1843;LTB1843;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3472;LTB1851;COLOR 1851;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3348;LTB1867;LTB1867;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3345;LTB1878;LTB1878;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3346;LTB1902;LTB1902;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3393;LTB1938;CONO HILO LTB, GROSOR 40, 5000 mts, Color 1938;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3350;LTB1967;LTB1967;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3333;LTBENTREADHESIVA;ENTRETELA ADHESIVA BLANCA 50MX85CM LTB;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3232;MF00A0834-B;"CUCHILLA MOVIL MITSUBISHI ""B"" LS2-150/180/190";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3477;MUELLEBORD;MUELLE TENSOR MÁQUINA DE BORDAR;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3276;NYLONAMAR;PRO-NYLON PARA EL BORDADO (1,6M. DE ANCHO) AZUL MAR;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3243;NYLONMARRONOSC;PRO-NYLON PARA EL BORDADO )1,6M) MARRÓN OSCURO;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3451;NYLONNARANJA;PRO-NYLON PARA EL BORDADO (1,6m) NARANJA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3253;P-30315;FISPOLY Nº15 P-30315;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3251;P-30316;FISPOLY Nº15 P-30316;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3252;P-30317;FISPOLY Nº15 P-30317;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3254;P-F3185;FISPOLY Nº15 P-F3185;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3277;P-F3190;FISPOLY Nº15 P-F3190;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3278;P-F3191;FISPOLY Nº15 P-F3191;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3279;P-F3192;FISPOLY Nº15 P-F3192;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3368;PEC-1201;SINSIM PEC-1201;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3249;PEC-1202;SINSIM PEC-1202 ;import reciente;0.0;3;REVISAR: enlazar manualmente o archivar si no esta en WC
