Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
DUPLICADO IMPORT;ARCHIVAR;ALTA;3195;;ST-M6565-HA360;;"MIGHTYHOOP 6,5"" X 6,5"" ECO";NO;import reciente (copia);0;0;;;1724;"MIGHTYHOOP 6,5&quot; X 6,5&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1724
DUPLICADO IMPORT;ARCHIVAR;ALTA;3221;;ST-M7272-HA500;;"MIGHTYHOOP 7,25"" ECO";NO;import reciente (copia);0;0;;;2720;"MIGHTYHOOP 7,25&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2720
DUPLICADO IMPORT;ARCHIVAR;ALTA;3224;;TA-9A0802400012;;"EXCENTRICO PARTIDO  PRENSATELAS (M) TAJIMA:
(TFMX, TFMXII, TFGN,)";NO;import reciente (copia);0;0;;;2863;EXCENTRICO PARTIDO  PRENSATELAS (M) TAJIMA: (TFMX, TFMXII, TFGN,);"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2863
DUPLICADO IMPORT;ARCHIVAR;ALTA;3223;;TA-9A0802500000;;"EXCENTRICO PARTIDO  PRENSATELAS (F1) TAJIMA:
(TFHX, TMFD, TFGN, TMLH-MIX, TMLHII-MIX Y TCMX-MIX)";NO;import reciente (copia);0;0;;;2862;EXCENTRICO PARTIDO  PRENSATELAS (F1) TAJIMA: (TFHX, TMFD, TFGN, TMLH-MIX, TMLHII-MIX Y TCMX-MIX);"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2862
DUPLICADO IMPORT;ARCHIVAR;ALTA;3213;;hcd29582;;"FRONT PANEL COVER 7"" HAPPY";NO;import reciente (copia);0;0;;;2432;"FRONT PANEL COVER 7&quot; HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2432
DUPLICADO IMPORT;ARCHIVAR;ALTA;3214;;hcd29590;;"REAR COVER PANEL 7"" HAPPY";NO;import reciente (copia);0;0;;;2433;"REAR COVER PANEL 7&quot; HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2433
DUPLICADO REFERENCIA;REVISAR;BAJA;1274;;0888 200050;;"PLACA 1 AGUJA &quot;b&quot; dk 888";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR - tiene pedidos;MEDIA;3174;;0888 200050;;"PLACA 1 AGUJA ""b"" dk 888";NO;medio;0.0;3;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1300;;0888 200060;;"PLACA 1 AGUJA &quot;c&quot; dk 888/HIGHLEAD/GOLDEN WHEEL";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3177;;0888 200060;;"PLACA 1 AGUJA ""c"" dk 888/HIGHLEAD/GOLDEN WHEEL";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1945;;103H7823-0416;;"MOTOR MOVIMIENTO &quot;Y&quot; SWF";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2109;;5.04.112A;;"PATA/PRENSATELAS &quot;A&quot; MEC-VAL";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1624;;522080-271538;;TOPE GUIA;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2547;;522080-271538;;TOPE GUIA;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1564;;720;;ENGRANE HEMBRA EJE ACOPLAMIENTO RULETA PF-491/591/ZOJE/TTY;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2137;;720;;ENGRANE HEMBRA EJE ACOPLAMIENTO RULETA PF-491/591/ZOJE/TTY;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2090;;8.01.114;;BUJE MEC-VAL CS-87;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3079;;8.01.114;;BUJE MEC-VAL CS-87;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1434;;91-059186-04/004;;"DIENTE PF-1293 &quot;B&quot;";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3182;;91-059186-04/004;;"DIENTE PF-1293 ""B""";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1483;;91-150526-04/001;;"PLACA AGUJA PF-491 &quot;B&quot;";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3183;;91-150526-04/001;;"PLACA AGUJA PF-491 ""B""";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1404;;91-150739-24/001;;"PLACA AGUJA PF-591 &quot;B&quot; tty";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3180;;91-150739-24/001;;"PLACA AGUJA PF-591 ""B"" tty";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1560;;91-150739-24/003;;"PLACA AGUJA PEQUEÑA PF-591 &quot;A&quot; tty";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3185;;91-150739-24/003;;"PLACA AGUJA PEQUEÑA PF-591 ""A"" tty";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1559;;91-150739-24/004;;"PLACA AGUJA PF-591 &quot;C&quot; tty";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3184;;91-150739-24/004;;"PLACA AGUJA PF-591 ""C"" tty";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3088;;C0066;;"CUCHILLA VERTICAL KM10&quot;";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3235;;C0066;;"CUCHILLA VERTICAL KM10""";NO;import reciente;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2672;;CORREADENTADA;;"CORREA DENTADA MOTOR &quot;Y&quot; LASER";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2885;;DUO-HCS3-1201-40;;"DUO COMBO HAPPY HCS3.  COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES) CARACTERISTICAS DE CADA CABEZAL: - MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS. - NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS. - NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA. - VELOCIDAD MAX DE 1.000 PUNTADAS. - NUEVA PANTALLA TACTIL 7&quot; con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL. - Nuevo sistema de movimiento de bastidor sin vib esperaciones.  - bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE). - pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL. - pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ. - LUZ LED FRONTAL. - reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR. - iNCLUYE 100 DISEÑOS EN LA MEMORIA. - edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO. - pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO   - Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2489;;EL6001392;;RODILLO ALIMENTAC. MAQUINA REBAJAR 50MM GRANO 2;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2491;;EL6001392;;RODILLO ALIMENTAC. MAQUINA REBAJAR 50MM GRANO 2;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1027;;EPM00980;;ROTARY SERVOMOTOR EJE X,Y. YASKAWA 200W PARA MÁQUINA HAPPY, MODELO HCU.;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3166;;EPM00980;;"ROTARY SERVOMOTOR EJE X,Y.
YASKAWA 200W PARA MÁQUINA HAPPY, MODELO HCU.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
